"name","type","description","domain","primary_key","characteristics","observation"
"PA_CODUNI","CHAR (7)","Código do Estabelecimento no CNES (Cadastro Nacional de Estabelecimentos de Saúde)","","","",""
"PA_GESTAO","CHAR (6)","Código da Unidade da Federação7 (IBGE) + Código do Município (IBGE) do Gestor, ou UF0000 se o estabelecimento estiver sob Gestão Estadual","","","",""
"PA_CONDIC","CHAR (2)","Sigla do Tipo de Gestão no qual o Estado ou Município está habilitado","","","",""
"PA_UFMUN","CHAR (6)","Unidade da Federação + Código do Município onde está localizado o estabelecimento","","","",""
"PA_REGCT","CHAR (4)","Código da Regra Contratual","","","",""
"PA_INCOUT","CHAR (4)","Incremento Outros","","","",""
"PA_INCURG","CHAR (4)","Incremento Urgência","","","",""
"PA_TPUPS","CHAR (2)","Tipo de Estabelecimento","","","",""
"PA_TIPPRE","CHAR (2)","Tipo de Prestador","","","",""
"PA_MN_IND","CHAR (1)","Estabelecimento Mantido / Individual","","","",""
"PA_CNPJCPF","CHAR (14)","CNPJ do Estabelecimento executante","","","",""
"PA_CNPJMNT","CHAR (14)","CNPJ da Mantenedora do estabelecimento ou zeros, caso não a tenha","","","",""
"PA_CNPJ_CC","CHAR (14)","CNPJ do Órgão que recebeu pela produção por cessão de crédito ou zeros, caso não o tenha","","","",""
"PA_MVM","CHAR (6)","Data de Processamento / Movimento (AAAAMM)","","","",""
"PA_CMP","CHAR (6)","Data da Realização do Procedimento / Competência (AAAAMM)","","","",""
"PA_PROC_ID","CHAR (10)","Código do Procedimento Ambulatorial","","","",""
"PA_TPFIN","CHAR (2)","Tipo de Financiamento da produção","","","",""
"PA_SUBFIN","CHAR (4)","Subtipo de Financiamento da produção","","","",""
"PA_NIVCPL","CHAR (1)","Complexidade do Procedimento","","","",""
"PA_DOCORIG","CHAR (1)","Instrumento de Registro (conforme explicad""o na página 2)""","","","",""
"PA_AUTORIZ","CHAR (13)","Número da APAC ou número de autorização do BPA-I, conforme o caso. No BPA-I, não é obrigatório, portanto, não é criticado","Lei de formação: UFAATsssssssd, onde: UF – Unid. da Federação, AA – ano, T – tipo, sssssss – sequencial, d – dígito","","",""
