"name","type","description","domain","primary_key","characteristics","observation"
"NES_EXEC","CHAR (7)","Código do SCNES do Estabelecimento de Saúde","","","",""
"ESTAO","CHAR (6)","Unidade da Federação + Código do Município do Gestor, ou UF0000 se a Unidade está sob Gestão Estadual","","","",""
"ONDIC","CHAR (2)","Sigla do Tipo de Gestão no qual o Estado ou Município está habilitado","","","",""
"FMUN","CHAR (6)","Unidade da Federação + município onde está localizado o Estabelecimento","","","",""
"PUPS","CHAR (2)","Tipo de do Estabelecimento","","","",""
"N_IND","CHAR (1)","Estabelecimento Mantido / Individual","","","",""
"NPJCPF","CHAR (14)","CNPJ do Estabelecimento executante","","","",""
"NPJMNT","CHAR (14)","CNPJ da Mantenedora do Estabelecimento ou zeros, caso não a tenha","","","",""
"T_PROCESS","CHAR (6)","Mês de Processamento (AAAAMM)","","","",""
"DT_ATEND","CHAR (6)","Mês do Atendimento (AAAAMM)","","","",""
"CNS_PAC","CHAR (15)","Número do CNS (Cartão Nacional de Saúde) do paciente (criptografia)","","","",""
"DTNASC","CHAR (8)","Data de nascimento do paciente","","","",""
"TPIDADEPAC","CHAR (1)","Tipo da Idade do paciente em anos, meses ou dias. Calculado a partir da data de nascimento","","","",""
"IDADEPAC","CHAR (2)","Idade do paciente","","","",""
"NACION_PAC","CHAR(2)","Nacionalidade do paciente","","","",""
"SEXOPAC","CHAR (1)","Sexo do paciente","","","",""
"RACACOR","CHAR (2)","Raça/Cor do paciente: 01 - Branca","02 - Preta, 03 - Parda, 04 - Amarela, 05 - Indígena, 99 - Sem informação","","",""
"ETNIA","CHAR (4)","Etnia do paciente (Caso seja da Raça/Cor Indígena)","","","",""
"MUNPAC","CHAR (6)","Unidade da Federação + município do município de residência do paciente","","","",""
"MOT_COB","CHAR (2)","Motivo de Saída/Permanência","","","",""
"DT_MOTCOB","CHAR (8)","Data da ocorrência no caso de alta, transferência ou óbito","","","",""
"CATEND","CHAR (2)","Caráter de Atendimento","","","",""
"CIDPRI","CHAR (4)","CID Principal","","","",""
"CIDASSOC","CHAR (4)","CID Causas Associadas","","","",""
"ORIGEM_PAC","CHAR (2)","Origem do paciente","","","",""
"DT_INÍCIO","CHAR (8)","Data de Início","","","",""
"DT_FIM","CHAR (8)","Data de Fim","","","",""
"COB_ESF","CHAR (1)","Indica se a região de atendimento do paciente tem cobertura de Estratégia Saúde da Família","","","",""
"CNES_ESF","CHAR (7)","Código do SCNES do Estabelecimento de Saúde Unidade da Saúde da Família da região","","","",""
"DESTINO_PAC","CHAR (2)","Destino do paciente","","","",""
"PA_PROC_ID","CHAR (10",") Código de Procedimento Ambulatorial","","","",""
"32 PA_QTDPRO","NUMERIC (11)","Quantidade Produzida (APRESENTADA)","","","",""
"33 PA_QTDAPR","NUMERIC (11)","Quantidade aprovada do procedimento","","","",""
"PA_SRV","CHAR (4)","Serviço Especializado","","","",""
"PA_CLAS_S","CHAR (4)","Classificação do Serviço","","","",""
"PA_EQUIPE","CHAR (12",") Código da Equipe (somente para o Instrumento de registro RAAS)","","","",""
"PA_TP_EQP","CHAR(2)","Tipo de Equipe (somente para o Instrumento de registro RAAS)","","","",""
"PA_CID","CHAR (4)","CID do Procedimento","","","",""
"DT_INICIO","CHAR (8)","Data de Início do Atendimento (DDMMAAAA)","","","",""
"DT_FIM","CHAR (8)","Data de Fim do Atendimento (DDMMAAAA)","","","",""
"PERMANENCIA","CHAR (4)","Permanência em Atendimento","","","",""
"QTDATE","CHAR (4)","Quantidade de Atendimentos","","","",""
"QTDPCN","CHAR (4)","Quantidade de pacientes","","","",""
"CNPJMNT","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_QTDPRO","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"DESTINOPAC","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"INICIO","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"GESTAO","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"CONDIC","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"NAT_JUR","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"DT_PROCESS","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PERMANEN","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_QTDAPR","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_CLASS_S","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"CNES_EXEC","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"MN_IND","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"CNPJCPF","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"TPUPS","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"FIM","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"CO_INE","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"UFMUN","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
