"name","type","description","domain","primary_key","characteristics","observation"
"UF_ZI","char (6)","Município Gestor.","","","",""
"ANO_CMPT","char (4)","Ano de processamento da AIH, no formato aaaa.","","","",""
"MÊS_CMPT","char (2)","Mês de processamento da AIH, no formato mm.","","","",""
"ESPEC","char (2)","Especialidade do Leito","","","",""
"CGC_HOSP","char (14)","CNPJ do Estabelecimento.","","","",""
"N_AIH","char (13)","Número da AIH.","","","",""
"IDENT","char (1)","Identificação do tipo da AIH.","","","",""
"CEP","char (8)","CEP do paciente.","","","",""
"MUNIC_RES","char (6)","Município de Residência do Paciente","","","",""
"NASC","char (8)","Data de nascimento do paciente (aaaammdd).","","","",""
"SEXO","char (1)","Sexo do paciente.","","","",""
"UTI_MES_IN","numeric(2)","Zerado","","","",""
"UTI_MES_AN","numeric(2)","Zerado","","","",""
"UTI_MES_AL","numeric(2)","Zerado","","","",""
"UTI_MES_TO","numeric(3)","Quantidade de dias de UTI no mês.","","","",""
"MARCA_UTI","char (2)","Indica qual o tipo de UTI utilizada pelo paciente.","","","",""
"UTI_INT_IN","numeric(2)","Zerado","","","",""
"UTI_INT_AN","numeric(2)","Zerado","","","",""
"UTI_INT_AL","numeric(2)","Zerado","","","",""
"UTI_INT_TO","numeric(3)","Quantidade de diárias em unidade intermediaria.","","","",""
"DIAR_ACOM","numeric(3)","Quantidade de diárias de acompanhante.","","","",""
"QT_DIARIAS","numeric(3)","Quantidade de diárias.","","","",""
"PROC_SOLIC","char (10)","Procedimento solicitado.","","","",""
"PROC_REA","char (10)","Procedimento realizado.","","","",""
"VAL_SH","numeric(13,2)","Valor de serviços hospitalares.","","","",""
"VAL_SP","numeric(13,2)","Valor de serviços profissionais.","","","",""
"VAL_SADT","numeric(13,2)","Zerado","","","",""
"VAL_RN","numeric(13,2)","Zerado","","","",""
"VAL_ACOMP","numeric(13,2)","Zerado","","","",""
"VAL_ORTP","numeric(13,2)","Zerado","","","",""
"VAL_SANGUE","numeric(13,2)","Zerado","","","",""
"VAL_SADTSR","numeric(11,2)","Zerado","","","",""
"VAL_TRANSP","numeric(13,2)","Zerado","","","",""
"VAL_OBSANG","numeric(11,2)","Zerado","","","",""
"VAL_PED1AC","numeric(11,2)","Zerado","","","",""
"VAL_TOT","numeric(14,2)","Valor total da AIH.","","","",""
"VAL_UTI","numeric(8,2)","alor de UTI.","","","",""
"US_TOT","numeric(10,2)","Valor total, em dólar.","","","",""
"DI_INTER","char (8)","Data de internação no formato aaammdd.","","","",""
"DT_SAIDA","char (8)","Data de saída, no formato aaaammdd.","","","",""
"DIAG_PRINC","char (4)","Código do diagnóstico principal (CID10).","","","",""
"DIAG_SECUN","char (4)","Código do diagnostico secundário (CID10). Preenchido com zeros a partir de 201501.","","","",""
"COBRANCA","char (2)","Motivo de Saída/Permanência","","","",""
"NATUREZA","char (2)","Natureza jurídica do hospital (com conteúdo até maio/12). Era utilizada a classificação de Regime e Natureza.","","","",""
"NAT_JUR","char (4)","Natureza jurídica do Estabelecimento, conforme a Comissão Nacional de Classificação - CONCLA","","","",""
"DESTAO","char (1)","Indica o tipo de gestão do hospital.","","","",""
