"name","type","description","domain","primary_key","characteristics","observation"
"SP_GESTOR","char (6)","Unidade de Federação + Código Município de Gestão ou UF0000 se o Estabelecimento Executante está sob Gestão Estadual.","","","",""
"SP_UF","char (2)","Unidade da Federação.","","","",""
"SP_AA","char (4)","Ano da internação.","","","",""
"SP_MM","char (2)","Mês da internação.","","","",""
"SP_CNES","char (7)","Código do CNES do Estabelecimento de Saúde executante da AIH.","","","",""
"SP_NAIH","char (13)","Número da AIH.","","","",""
"SP_PROCREA","char (10)","Procedimento principal realizado na AIH.","","","",""
"SP_DTINTER","char (8)","Data da internação.","","","",""
"SP_DTSAIDA","char (8)","Data de saída.","","","",""
"SP_NUM_PR","char (8)","Zerado","","","",""
"SP_TIPO","char (2)","Zerado","","","",""
"SP_CPFCGC","char (14)","CNES, CPF ou CNPJ do prestador do serviço do ato profissional.","","","",""
"SP_ATOPROF","char (10)","Procedimento referente ao ato profissional.","","","",""
"SP_TP_ATO","char (2)","Zerado.","","","",""
"SP_QTD_ATO","numeric(4)","Quantidade de atos profissionais.","","","",""
"SP_PTSP","char (6)","Quantidade de pontos.","","","",""
"SP_NF","char (8)","Nota fiscal do material empregado quando órtese/prótese, quando não, o campo representa a data do ato.","","","",""
"SP_VALATO","numeric(14, 2)","Valor do ato profissional.","","","",""
"SP_M_HOSP","char (6)","Município de localização do Estabelecimento Executante da AIH.","","","",""
"SP_M_PAC","char (6)","Município de residência do paciente.","","","",""
"SP_DES_HOS","char (1)","Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento.","","","",""
"SP_DES_PAC","char (1)","Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento.","","","",""
"SP_COMPLEX","char (2)","Complexidade do ato profissional.","","","",""
"SP_FINANC","char (2)","Tipo de financiamento do ato profissional.","","","",""
"SP_CO_FAEC","char (6)","Tipo de financiamento (04-FAEC)+ Subtipo de financiamento relacionado ao tipo de financiamento (04-FAEC)do ato profissional.","","","",""
"SP_PF_CBO","char (6)","Código de Ocupação Brasileira do Profissional que realizou o ato ou “00000” caso não tenha sido.","","","",""
"SP_PF_DOC","char (15)","Documento de pessoa jurídica.","","","",""
"SP_PJ_DOC","char (14)","Documento de pessoa física.","","","",""
"IN_TP_VAL","char (1)","Tipo de valor: 1 - SP /2 –SH.","","","",""
"SEQUENCIA","char (9)","Código sequencial.","","","",""
"REMESSA","char (21)","Nome da remessa.","","","",""
"SERV_CLA","char (6)","Serviço/Classificação.","","","",""
"SP_CIDPRI","char (4)","CID Principal.","","","",""
"SP_CIDSEC","char (4)","CID Secundário.","","","",""
"SP_QT_PROC","numeric(4)","Quantidade de procedimentos realizados.","","","",""
"SP_U_AIH","char (1)","Indicador único da AIH. Contabiliza a AIH sem repetições.","","","",""
"SP_CGCHOSP","","","","",""
"SP_PTSP_NF","","","","",""
