"name","type","description","domain","primary_key","characteristics","observation"
"CODUNI","CHAR (7)","Código do Estabelecimento no CNES (Cadastro Nacional de Estabelecimentos de Saúde)","","","",""
"GESTAO","CHAR (6)","Código da Unidade da Federação + Código do Município (IBGE),do Gestor, ou UF0000 se o estabelecimento estiver sob Gestão Estadual","","","",""
"CONDIC","CHAR (2)","Sigla do Tipo de Gestão no qual o Estado ou Município está habilitado","","","",""
"UFMUN","CHAR (6)","Código da Unidade da Federação + Código do Município onde está localizado o estabelecimento","","","",""
"TPUPS","CHAR (2)","Tipo de do Estabelecimento","","","",""
"TIPPRE","CHAR (2)","Tipo de Prestador","","","",""
"MN_IND","CHAR (1)","Estabelecimento Mantido / Individual","","","",""
"CNPJCPF","CHAR (14)","CNPJ do Estabelecimento executante","","","",""
"CNPJMNT","CHAR (14)","CNPJ da Mantenedora do estabelecimento ou zeros, caso não a tenha","","","",""
"CNPJ_CC","CHAR (14)","CNPJ do Órgão que recebeu pela produção por cessão de crédito ou zeros, caso não o tenha","","","",""
"DT_PROCESS","CHAR (6)","Ano e mês de Processamento da produção (AAAAMM)","","","",""
"DT_ATEND","CHAR (6)","Ano e mês do Atendimento (AAAAMM)","","","",""
"PROC_ID","CHAR (10)","Código do Procedimento Ambulatorial","","","",""
"TPFIN","CHAR (2)","Tipo de Financiamento da produção","","","",""
"SUBFIN","CHAR (4)","Subtipo de Financiamento da produção","","","",""
"COMPLEX","CHAR (1)","Complexidade do Procedimento","","","",""
"AUTORIZ","CHAR (13)","Número da APAC ou número de autorização do BPA-I, conforme o caso. No BPA-I, não é obrigatório, portanto, não é criticado","Lei de formação: UFAATsssssssd, onde: UF – Unid. da Federação, AA – ano, T – tipo, sssssss – sequencial, d – dígito.","","",""
"CNSPROF","CHAR (15)","Número do CNS (Cartão Nacional de Saúde) do profissional de saúde executante","","","",""
"CBOPROF","CHAR (6)","Código da Ocupação do profissional na Classificação Brasileira de Ocupações (Ministério do Trabalho)","","","",""
"CIDPRI","CHAR (4)","CID Principal","","","",""
"CATEND","CHAR (2)","Caráter de Atendimento","","","",""
"CNS_PAC","CHAR (15)","Número do CNS (Cartão Nacional de Saúde) do paciente","","","",""
"DTNASC","CHAR (8)","Data de nascimento do Paciente","","","",""
"TPIDADEPAC","CHAR (1)","Tipo da Idade do paciente em anos,meses ou dias. Calculado a partir da data de nascimento","","","",""
"IDADEPAC","CHAR (2)","Idade do Paciente","","","",""
"SEXOPAC","CHAR (1)","Sexo do paciente","","","",""
"RACACOR","CHAR (2)","Raça/Cor do paciente","01 - Branca, 02 - Preta, 03 - Parda, 04 - Amarela, 05 - Indígena, 99 - Sem informação","","",""
"MUNPAC","CHAR (6)","Código da Unidade da Federação + Código do Município de residência do paciente ou do estabelecimento, caso não se tenha a identificação do paciente, o que ocorre no (BPA)","","","",""
"QT_APRES","NUMERIC (20.0)","Quantidade Produzida (APRESENTADA)","","","",""
"QT_APROV","NUMERIC (20.0)","Quantidade Aprovada do procedimento","","","",""
"VL_APRES","NUMERIC (20.2)","Valor Produzido (APRESENTADO)","","","",""
"VL_APROV","NUMERIC (20.2)","Valor Aprovado do procedimento","","","",""
"UFDIF","CHAR (1)","Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento","0 = mesma UF; 1 = UF diferente","","",""
"MNDIF","CHAR (1)","Indica se o município de residência do paciente é diferente do município de localização do estabelecimento","0 = mesmo município; 1 = município diferente","","",""
"ETNIA","CHAR (4)","Conteúdo definido conforme Portaria SAS Nº 508 de 28 de Setembro de 2010.","","","",""
"NAT_JUR","CHAR (4)","Código da Natureza Jurídica","","","",""
