"name","type","description","domain","primary_key","characteristics","observation"
"CNES_EXEC","CHAR (7)","Código do SCNES do Estabelecimento de Saúde","","","",""
"GESTAO","CHAR (6)","Unidade da Federação + Código do Município do Gestor, ou UF0000 se a Unidade está sob Gestão Estadual","","","",""
"CONDIC","CHAR (2)","Sigla do Tipo de Gestão no qual o Estado ou Município está habilitado","","","",""
"UFMUN","CHAR (6)","Unidade da Federação + município onde está localizado o Estabelecimento","","","",""
"TPUPS","CHAR (2)","Tipo de do Estabelecimento","","","",""
"TIPPRE","CHAR (2)","Tipo de Prestador","","","",""
"MN_IND","CHAR (1)","Estabelecimento Mantido / Individual","","","",""
"CNPJCPF","CHAR (14)","CNPJ do Estabelecimento executante","","","",""
"CNPJMNT","CHAR (14)","CNPJ da Mantenedora do Estabelecimento ou zeros, caso não a tenha","","","",""
"DT_PROCESS","CHAR (14)","Data de Processamento (AAAAMM)","","","",""
"DT_ATEND","CHAR (6)","Data do Atendimento (AAAAMM)","","","",""
"CNS_PAC","CHAR (15)","Número do CNS (Cartão Nacional de Saúde) do paciente (criptografia)","","","",""
"DTNASC","CHAR (8)","Data de nascimento do paciente","","","",""
"TPIDADEPAC","CHAR (1)","Tipo da Idade do paciente em anos, meses ou dias. Calculado a partir da data de nascimento","","","",""
"IDADEPAC","CHAR (2)","Idade do paciente","","","",""
"NACION_PAC","CHAR (2)","Nacionalidade do paciente","","","",""
"SEXOPAC","CHAR (1)","Sexo do paciente","","","",""
"RACACOR","CHAR (2)","Raça/Cor do paciente","01 - Branca, 02 - Preta, 03 - Parda, 04 - Amarela, 05 - Indígena, 99 - Sem informação","","",""
"ETNIA","CHAR (4)","Etnia do paciente (Caso seja da Raça/Cor Indígena)","","","",""
"MUNPAC","CHAR (6)","Unidade da Federação + município do município de residência do paciente","","","",""
"MOT_COB","CHAR (2)","Motivo de Saída/Permanência","","","",""
"DT_MOTCOB","CHAR (8)","Data da ocorrência no caso de alta, transferência ou óbito","","","",""
"CATEND","CHAR (2)","Caráter de Atendimento","","","",""
"CIDPRI","CHAR (4)","CID Principal","","","",""
"CIDASSOC","CHAR (4)","CID Causas Associadas","","","",""
"ORIGEM_PAC","CHAR (2)","Origem do paciente","","","",""
"DT_INICIO","CHAR (8)","Data de Início","","","",""
"DT_FIM","CHAR (8)","Data de Fim","","","",""
"COB_ESF","CHAR (1)","Indica se a região de atendimento do paciente tem cobertura de Estratégia Saúde da Família","","","",""
"CNES_ESF","CHAR (7)","Código do SCNES do Estabelecimento de Saúde Unidade da Saúde da Família da região","","","",""
"DESTINOPAC","CHAR (2)","Destino do paciente","","","",""
"PA_PROC_ID","CHAR(10)","Ação Realizada","","","",""
"QT_APRES","NUMERIC (11)","Quantidade Apresentada","","","",""
"QT_APROV","NUMERIC (11)","Quantidade Aprovada","","","",""
"SERV","CHAR (3)","Código do Serviço Especializado","","","",""
"CLASS","CHAR (3)","Código da Classificação do Serviço","","","",""
"SIT_RUA","CHAR (1)","Situação de Rua","(S- SIM, N - NÃO)","","",""
"TP_DROGA","CHAR (3)","TIPO DE DROGA","(A - Álcool, C - Crack, O - Outros)","","",""
"LOC_REALIZ","CHAR (1)","Local de Realização","(C – CAPS, T - Território)","","",""
"INICIO","CHAR (8)","Data de Início do Atendimento (DDMMAAAA)","","","",""
"FIM","CHAR (8)","Data de Fim do Atendimento (DDMMAAAA)","","","",""
"PERMANEN","CHAR (4)","Permanência em Atendimento","","","",""
"QTDATE","CHAR (4)","Quantidade de Atendimentos","","","",""
"QTDPCN","CHAR (4)","Quantidade de pacientes","","","",""
"PA_QTDPRO","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"NAT_JUR","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_CLASS_S","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_QTDAPR","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
"PA_SRV","","","","","","Não documentada pela documentação SIA, ou coluna antiga renomeada que foi renomeada."
